De_CodFolha,De_DescFolha,De_CodEvento,De_DescEvento,De_TipoEvento,DataUltimaUtilizacao,Para_CodFolha,Para_DescFolha,Para_CodEvento,Para_DescEvento,Pred_Para_CodFolha,Pred_Para_DescFolha,Pred_Para_CodEvento,Pred_Para_DescEvento
33,PROVISÃO DE 13º SALÁRIO,11415,BASE 13 SALARIO,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,11416,BASE MEDIA 13 SALARIO,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,11435,BASE PROVISAO 13 SALARIO,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,11500,REMUNERACAO FIXA MENSAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,11500,REMUNERACAO FIXA MENSAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,11515,SALARIO MINIMO,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,11515,SALARIO MINIMO,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,11525,BASE SALARIO HORA EXTRA E AD NOTURNO,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,11525,BASE SALARIO HORA EXTRA E AD NOTURNO,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,11600,CARGA HORARIA MENSAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,11600,CARGA HORARIA MENSAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,11720,OPCAO TIPO DE MEDIA COMISSAO,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,11720,OPCAO TIPO DE MEDIA COMISSAO,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,11721,OPCAO TIPO DE MEDIA ADICIONAIS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,11721,OPCAO TIPO DE MEDIA ADICIONAIS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,12300,GPS-% INSS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,12300,GPS-% INSS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,12301,GPS-% SAT,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,12301,GPS-% SAT,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,12302,GPS-% FAP,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,12302,GPS-% FAP,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,12306,GPS-CODIGO AGENTE NOCIVO FUNC,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,12306,GPS-CODIGO AGENTE NOCIVO FUNC,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,12310,GPS-% SAT + % AGENTE NOCIVO,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,12310,GPS-% SAT + % AGENTE NOCIVO,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,12315,GPS-% TERCEIROS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,12315,GPS-% TERCEIROS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,12316,GPS-% SEBRAE,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,12316,GPS-% SEBRAE,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,12321,GPS-% INCRA,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,12321,GPS-% INCRA,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,12342,GPS-% SALARIO EDUCACAO,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,12342,GPS-% SALARIO EDUCACAO,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,12367,GPS-% SESCOOP,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,12367,GPS-% SESCOOP,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,12376,GPS-% INSS EMPRESA DESONERACAO PR FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,12377,GPS-% INSS EMPRESA DESONERACAO 13º SAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,14270,% FGTS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,14270,% FGTS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15000,PF-PROVISAO MES FERIAS PARTE FIXA,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15005,PF-PROVISAO MES FERIAS PARTE VAR,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15010,PF-PROVISAO MES 1/3 FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15015,PF-PROVISAO MES FERIAS TOTAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15020,PF-PROVISAO MES INSS FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15025,PF-PROVISAO MES FGTS FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15028,PF-PROVISAO MES PIS FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15030,PF-PROVISAO MES FERIAS TOTAL ENCAR,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15035,PF-PROVISAO MES FERIAS TOTAL GERAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15040,PF-BAIXA MES FERIAS PARTE FIXA,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15045,PF-BAIXA MES FERIAS PARTE VAR,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15050,PF-BAIXA MES 1/3 FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15055,PF-BAIXA MES FERIAS TOTAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15060,PF-BAIXA MES INSS FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15065,PF-BAIXA MES FGTS FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15068,PF-BAIXA MES PIS FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15070,PF-BAIXA MES FERIAS TOTAL ENCAR,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15075,PF-BAIXA MES FERIAS TOTAL GERAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15080,PF-PROVISAO ACUM FERIAS PARTE FIXA,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15085,PF-PROVISAO ACUM FERIAS PARTE VAR,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15090,PF-PROVISAO ACUM 1/3 FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15095,PF-PROVISAO ACUM FERIAS TOTAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15100,PF-PROVISAO ACUM INSS FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15105,PF-PROVISAO ACUM FGTS FERIAS ,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15108,PF-PROVISAO ACUM PIS FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15110,PF-PROVISAO ACUM FERIAS TOTAL ENCAR,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15115,PF-PROVISAO ACUM FERIAS TOTAL GERAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15120,PF-PROVISAO ACUM MA FERIAS PARTE FIXA,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15125,PF-PROVISAO ACUM MA FERIAS PARTE VAR,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15130,PF-PROVISAO ACUM MA 1/3 FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15135,PF-PROVISAO ACUM MA FERIAS TOTAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15140,PF-PROVISAO ACUM MA INSS FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15145,PF-PROVISAO ACUM MA FGTS FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15148,PF-PROVISAO ACUM MA PIS FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15150,PF-PROVISAO ACUM MA FERIAS TOTAL ENCAR,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15155,PF-PROVISAO ACUM MA FERIAS TOTAL GERAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15160,PF-PROVISAO AJUSTE POS FERIAS PARTE FIXA,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15165,PF-PROVISAO AJUSTE POS FERIAS PARTE VAR,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15170,PF-PROVISAO AJUSTE POS 1/3 FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15175,PF-PROVISAO AJUSTE POS FERIAS TOTAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15180,PF-PROVISAO AJUSTE POS INSS FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15185,PF-PROVISAO AJUSTE POS FGTS FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15188,PF-PROVISAO AJUSTE POS PIS FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15190,PF-PROVISAO AJUSTE POS FERIAS TOTAL ENCA,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15195,PF-PROVISAO AJUSTE POS FERIAS TOTAL GERA,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15200,PF-PROVISAO AJUSTE NEG FERIAS PARTE FIXA,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15205,PF-PROVISAO AJUSTE NEG FERIAS PARTE VAR,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15210,PF-PROVISAO AJUSTE NEG 1/3 FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15215,PF-PROVISAO AJUSTE NEG FERIAS TOTAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15220,PF-PROVISAO AJUSTE NEG INSS FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15225,PF-PROVISAO AJUSTE NEG FGTS FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15228,PF-PROVISAO AJUSTE NEG PIS FERIAS,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15230,PF-PROVISAO AJUSTE NEG FERIAS TOTAL ENCA,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
32,PROVISÃO DE FÉRIAS,15235,PF-PROVISAO AJUSTE NEG FERIAS TOTAL GERA,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15300,P13-PROVISAO MES 13º SAL PARTE FIXA,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15305,P13-PROVISAO MES 13º SAL PARTE VAR,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15310,P13-PROVISAO MES 13º SAL TOTAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15315,P13-PROVISAO MES INSS 13º SAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15320,P13-PROVISAO MES FGTS 13º SAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15323,P13-PROVISAO MES PIS 13º SAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15325,P13-PROVISAO MES 13º SAL TOTAL ENCAR,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15330,P13-PROVISAO MES 13º SAL TOTAL GERAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15335,P13-BAIXA MES 13º SAL PARTE FIXA,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15340,P13-BAIXA MES 13º SAL PARTE VAR,R,202304,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15345,P13-BAIXA MES 13º SAL TOTAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15350,P13-BAIXA MES INSS 13º SAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15355,P13-BAIXA MES FGTS 13º SAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15358,P13-BAIXA MES PIS 13º SAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15360,P13-BAIXA MES 13º SAL TOTAL ENCAR,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15365,P13-BAIXA MES 13º SAL TOTAL GERAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15370,P13-PROVISAO ACUM 13º SAL PARTE FIXA,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15375,P13-PROVISAO ACUM 13º SAL PARTE VAR,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15380,P13-PROVISAO ACUM 13º SAL TOTAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15385,P13-PROVISAO ACUM INSS 13º SAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15390,P13-PROVISAO ACUM FGTS 13º SAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
33,PROVISÃO DE 13º SALÁRIO,15393,P13-PROVISAO ACUM PIS 13º SAL,R,202305,,,,,39.0,ACORDO TRABALHISTA,14205.0,ADCIONAL DE HORAS TRABALHADAS RESULTADO
