De_CodFolha,De_DescFolha,De_CodEvento,De_DescEvento,De_TipoEvento,DataUltimaUtilizacao,Para_CodFolha,Para_DescFolha,Para_CodEvento,Para_DescEvento
1,MENSAL,23040,DSR HRS SOBREAVISO,P,202302,1,MENSAL,915,DSR HORAS SOBREAVISO
1,MENSAL,50,ADICIONAL NOTURNO,P,202310,1,MENSAL,1100,ADICIONAL NOTURNO 20%
1,MENSAL,520,ADICIONAL NOTURNO 20%,P,202310,1,MENSAL,1100,ADICIONAL NOTURNO 20%
1,MENSAL,590,AD NOTURNO 20% SALARIO BASE,P,201804,1,MENSAL,1100,ADICIONAL NOTURNO 20%
1,MENSAL,480,DIFERENÇA ADCIONAL NOTURNO,P,201810,1,MENSAL,1101,DIF ADICIONAL NOTURNO 20%
1,MENSAL,23190,DIF.AD.NOTURNO ACM 01495-2008,P,200812,1,MENSAL,1101,DIF ADICIONAL NOTURNO 20%
1,MENSAL,23440,DSR ADIC NOTURNO,P,202310,1,MENSAL,1290,DSR ADICIONAL NOTURNO
1,MENSAL,300,COMISSAO,P,201307,1,MENSAL,1400,COMISSAO
1,MENSAL,24070,PRÊMIO,P,202310,1,MENSAL,1900,PREMIO
1,MENSAL,150,GRATIFICACAO,P,202310,1,MENSAL,1910,GRATIFICACAO
1,MENSAL,22660,GRATIFICACAO MES ANTERIOR,P,201309,1,MENSAL,1910,GRATIFICACAO
1,MENSAL,380,GRATIFICACAO MES ANTERIOR,P,201708,1,MENSAL,1911,DIF GRATIFICACAO
1,MENSAL,440,DIFERENÇA GRATIFICAÇÃO,P,202308,1,MENSAL,1911,DIF GRATIFICACAO
1,MENSAL,23600,QUEBRA DE CAIXA,P,202310,1,MENSAL,1930,QUEBRA DE CAIXA
1,MENSAL,160,GRATIFICACAO EXTRA,P,201810,1,MENSAL,1940,GRATIFICACAO EXTRA
1,MENSAL,170,TAXA DE ENFERMAGEM,P,202309,1,MENSAL,1950,TAXA DE ENFERMAGEM
1,MENSAL,340,DIFERENCA DE TX ENFERMAGEM,P,202307,1,MENSAL,1951,DIF TAXA DE ENFERMAGEM
1,MENSAL,200,ASSIDUIDADE,P,202310,1,MENSAL,1960,ASSIDUIDADE
1,MENSAL,22650,GRAT. ASSID/PONT. MES ANTERIOR,P,201812,1,MENSAL,1961,DIF ASSIDUIDADE
1,MENSAL,24870,DIF ASSIDUIDADE,P,202204,1,MENSAL,1961,DIF ASSIDUIDADE
1,MENSAL,290,GRATIFICACAO ADCIONAL,P,199903,1,MENSAL,1970,GRATIFICACAO ADICIONAL
1,MENSAL,360,GRATIFICACAO FUNCAO,P,202310,1,MENSAL,1980,GRATIFICACAO FUNCAO
1,MENSAL,5560,EMPRESTIMO II,P,201803,1,MENSAL,2400,EMPRESTIMO
1,MENSAL,230,VALE CRECHE,P,202310,1,MENSAL,2405,AUXILIO CRECHE
1,MENSAL,560,VALE CRECHE MES ANTERIOR,P,201604,1,MENSAL,2406,DIF AUXILIO CRECHE
1,MENSAL,23230,REEMBOLSO DESPESAS MEDICAS,P,202309,1,MENSAL,2600,REEMBOLSO ASSISTENCIA MEDICA
1,MENSAL,23170,AJUDA TRANSP. ESTAGIARIO,P,201112,11,MENSAL ESTAGIARIOS,2610,REEMBOLSO TRANSPORTE
1,MENSAL,20,SALARIO FAMILIA,P,202310,1,MENSAL,2700,SALARIO FAMILIA
1,MENSAL,190,DIFERENCA SALARIO FAMILIA,P,201704,1,MENSAL,2701,DIF SALARIO FAMILIA
1,MENSAL,22640,SALARIO FAMILIA MES ANTERIOR,P,202310,1,MENSAL,2701,DIF SALARIO FAMILIA
1,MENSAL,22710,PIS REND/ABONO,P,201612,1,MENSAL,2705,PIS RENDIMENTO/ABONO
1,MENSAL,260,DESCONTO INDEVIDO,P,202210,1,MENSAL,2715,DEVOLUCAO DE DESCONTO INDEVIDO
1,MENSAL,1090,DESCONTO INDEVIDO REFEITÓRIO,P,202110,1,MENSAL,2715,DEVOLUCAO DE DESCONTO INDEVIDO
1,MENSAL,5442,DEVOLUÇÃO/REEMBOLSO,P,202212,1,MENSAL,2715,DEVOLUCAO DE DESCONTO INDEVIDO
1,MENSAL,23265,DEVOLUÇÃO DESC INDEVIDO,P,202310,1,MENSAL,2715,DEVOLUCAO DE DESCONTO INDEVIDO
1,MENSAL,24930,DEVOLUÇÃO DESC INDEVIDO,P,202308,1,MENSAL,2715,DEVOLUCAO DE DESCONTO INDEVIDO
1,MENSAL,24100,AJUDA COMPENSATÓRIA,P,202012,1,MENSAL,2725,AJUDA COMPENSATORIA LEI 14020
1,MENSAL,220,ADICIONAL DE HORAS TRABALHADAS,P,199903,1,MENSAL,3400,ADICIONAL DE HORAS TRABALHADAS
1,MENSAL,320,ADICIONAL DE APOIO,P,199903,1,MENSAL,3405,ADICIONAL DE APOIO
1,MENSAL,400,ABONO COV.COLETIVA,P,200305,1,MENSAL,3410,ABONO COV.COLETIVA
1,MENSAL,420,REMOÇAO - UTI MÓVEL,P,200109,1,MENSAL,3415,REMOÇAO - UTI MOVEL
1,MENSAL,500,DIF.DA SETENÇA NORMATIVA,P,200611,1,MENSAL,3420,DIF.DA SETENÇA NORMATIVA
1,MENSAL,510,GRATIFICAÇÃO NATALINA ESTAGIARIOS,P,200711,11,MENSAL ESTAGIARIOS,3425,GRATIFICAÇÃO NATALINA ESTAGIARIOS
1,MENSAL,1080,PAGAMENTO,P,202310,1,MENSAL,3435,PAGAMENTO
1,MENSAL,570,FERIADO MES ANTERIOR,P,201602,1,MENSAL,3471,DIF FERIADO
1,MENSAL,23210,GRATIFICAÇÃO ESTAGIÁRIO,P,201504,11,MENSAL ESTAGIARIOS,3475,GRATIFICAÇÃO ESTAGIÁRIO
1,MENSAL,24895,MED SOB AVIS FER MES SEG,P,202302,1,MENSAL,3478,MED SOB AVIS FER MES SEG
1,MENSAL,1010,FERIAS,P,202310,1,MENSAL,4000,FERIAS 1 OCORRENCIA
1,MENSAL,1030,1/3 CONSTITUCIONAL FERIAS,P,202310,1,MENSAL,4005,1/3 FERIAS 1 OCORRENCIA
1,MENSAL,23430,MED GRAT FER,P,202310,1,MENSAL,4010,MEDIA FERIAS 1 OCORRENCIA
1,MENSAL,23460,MED AD NOT FER,P,202310,1,MENSAL,4010,MEDIA FERIAS 1 OCORRENCIA
1,MENSAL,23500,MED HX FER,P,202310,1,MENSAL,4010,MEDIA FERIAS 1 OCORRENCIA
1,MENSAL,23980,MED SOBRE AVISO FERIAS,P,202310,1,MENSAL,4010,MEDIA FERIAS 1 OCORRENCIA
1,MENSAL,1050,ABONO PECUNIARIO,P,202102,1,MENSAL,4020,ABONO PECUNIARIO 1 OCORRENCIA
1,MENSAL,23545,ABONO PECUNIARIO,P,202309,1,MENSAL,4020,ABONO PECUNIARIO 1 OCORRENCIA
1,MENSAL,23565,ABONO PECUNIARIO,P,201902,1,MENSAL,4020,ABONO PECUNIARIO 1 OCORRENCIA
1,MENSAL,1035,1/3 CONST ABONO PECUNIARIO,P,202102,1,MENSAL,4025,1/3 ABONO PECUNIARIO 1 OCORRENCIA
1,MENSAL,23550,1/3 ABONO PECUNIARIO,P,202309,1,MENSAL,4025,1/3 ABONO PECUNIARIO 1 OCORRENCIA
1,MENSAL,23575,1/3 ABONO,P,201902,1,MENSAL,4025,1/3 ABONO PECUNIARIO 1 OCORRENCIA
1,MENSAL,1070,ADIANTAMENTO 13º SALARIO FERIAS,P,199703,1,MENSAL,4080,ADIANTAMENTO 13 SALARIO FERIAS
1,MENSAL,23245,ASSISTENCIA MEDICA,P,201808,1,MENSAL,4815,ASSISTENCIA MEDICA
1,MENSAL,110,SALARIO MATERNIDADE,P,202310,1,MENSAL,4910,13 SALARIO MATERNIDADE LEI 10710
1,MENSAL,280,BOLSA,P,201208,11,MENSAL ESTAGIARIOS,6105,BOLSA AUXILIO ESTAGIARIO - MENSAL
1,MENSAL,250,BOLSA MES ANTERIOR,P,200003,11,MENSAL ESTAGIARIOS,6106,DIF BOLSA AUXILIO ESTAGIARIO - MENSAL
1,MENSAL,460,DIFERENÇA DA BOLSA,P,200512,11,MENSAL ESTAGIARIOS,6106,DIF BOLSA AUXILIO ESTAGIARIO - MENSAL
1,MENSAL,23200,RECESSO ESTAGIÁRIO,P,201111,11,MENSAL ESTAGIARIOS,6110,BOLSA RECESSO ESTAGIO
1,MENSAL,60,INSULFICIENCIA SALDO MES,P,202310,1,MENSAL,6950,INSUFICIENCIA SALDO MES
1,MENSAL,5450,FALTAS INJUSTIFICADAS ESTAGIARIO,D,202212,11,MENSAL ESTAGIARIOS,7000,DESCONTO FALTAS INJUSTIFICADAS
1,MENSAL,5020,FALTAS INJUSTIFICADAS,D,202310,1,MENSAL,7000,DESCONTO FALTAS INJUSTIFICADAS
1,MENSAL,5190,FALTAS MES ANTERIOR,D,201612,1,MENSAL,7001,DIF DESCONTO FALTAS INJUSTIFICADAS
1,MENSAL,270,DESCONTO INDEVIDO DE FALTAS,P,201811,1,MENSAL,7002,DEV FALTAS INJUSTIFICADAS
1,MENSAL,24090,DESCONTO SUSPENSÃO,D,202306,1,MENSAL,7005,DESCONTO FALTAS SUSPENSAO
1,MENSAL,5330,DESCONTO REPOUSO REMUNERADO,D,202310,1,MENSAL,7095,DESCONTO DSR FALTAS E ATRASOS
1,MENSAL,5650,ATRASOS ESTAGIÁRIO,D,201206,11,MENSAL ESTAGIARIOS,7100,ATRASOS
1,MENSAL,5200,ATRASOS,D,202310,1,MENSAL,7100,ATRASOS
1,MENSAL,5870,SAÍDA ANTECIPADA,D,202007,1,MENSAL,7105,SAIDA ANTECIPADA
1,MENSAL,24335,DESC SALDO NEGATIVO BANCO DE HORAS,D,202306,1,MENSAL,7120,DESC SALDO NEGATIVO BANCO DE HORAS
1,MENSAL,5000,INSS,D,202310,1,MENSAL,7200,INSS MES
1,MENSAL,1720,DEVOLUÇÃO DESCONTO INSS,P,201801,1,MENSAL,7202,DEV INSS MES
1,MENSAL,5010,IRRF,D,202310,1,MENSAL,7400,IRRF MES
1,MENSAL,5080,IRRF PAGO FERIAS,D,202310,1,MENSAL,7510,IRRF DESCONTADO FERIAS I
1,MENSAL,5090,IRRF COMPLEMENTAR FERIAS,D,202309,1,MENSAL,7511,DIF IRRF DESCONTADO FERIAS I
1,MENSAL,5130,PENSAO ALIMENTICIA,D,201504,1,MENSAL,7600,PENSAO ALIMENTICIA MES
1,MENSAL,5320,PENSAO ALIMENTICIA SALARIO MINIMO,D,202309,1,MENSAL,7600,PENSAO ALIMENTICIA MES
1,MENSAL,5710,PENSÃO ALIMENTÍCIA S/ SALARIO MINIMO,D,200701,1,MENSAL,7600,PENSAO ALIMENTICIA MES
1,MENSAL,80,PENSAO ALIMENTICIA 13º SALARIO,D,199702,1,MENSAL,7620,PENSAO ALIMENTICIA 13 SALARIO
1,MENSAL,5030,CONTRIBUICAO SINDICAL,D,202003,1,MENSAL,7805,CONTRIBUICAO SINDICAL ANUAL
1,MENSAL,5550,DEVOLUCAO CONT. SINDICAL,P,201405,1,MENSAL,7807,DEV CONTRIBUICAO SINDICAL ANUAL
1,MENSAL,5280,CONTRIBUICAO ASSISTENCIAL (ENFERMEIROS),D,201310,1,MENSAL,7815,CONTRIBUICAO ASSISTENCIAL
1,MENSAL,5290,CONTRIBUICAO ASSISTENCIAL FARMACEUTICOS,D,201707,1,MENSAL,7815,CONTRIBUICAO ASSISTENCIAL
1,MENSAL,5300,CONTRIBUICAO ASSISTENCIAL TRAB SAUDE(T),D,199806,1,MENSAL,7815,CONTRIBUICAO ASSISTENCIAL
1,MENSAL,5310,CONTRIBUICAO ASSISTENCIAL TRAB SAUDE,D,201808,1,MENSAL,7815,CONTRIBUICAO ASSISTENCIAL
1,MENSAL,5610,CONTRIBUIÇÃO ASSISTENCIAL(NUTRICINISTA),D,200907,1,MENSAL,7815,CONTRIBUICAO ASSISTENCIAL
1,MENSAL,5740,CONT. ASSISTENCIAL MES ANTERIOR,D,201310,1,MENSAL,7816,DIF CONTRIBUICAO ASSISTENCIAL
1,MENSAL,490,DEVOLUÇÃO CONSTRIBUIÇÃO ASSISTENCIAL,P,200612,1,MENSAL,7817,DEV CONTRIBUICAO ASSISTENCIAL
1,MENSAL,5270,MENSALIDADE SINDICAL,D,202310,1,MENSAL,7820,MENSALIDADE SINDICAL
1,MENSAL,6020,MENSALIDADE SINDICAL - STS,D,202310,1,MENSAL,7820,MENSALIDADE SINDICAL
1,MENSAL,5730,MENSALIDADE SINDICAL MES ANTERIOR,D,202012,1,MENSAL,7821,DIF MENSALIDADE SINDICAL
1,MENSAL,24210,CONTRIBUIÇÃO SINDICAL NEGOCIAL,D,202310,1,MENSAL,7825,CONTRIBUICAO NEGOCIAL
1,MENSAL,5470,PLANO SAUDE UNIMED - ENF,D,200007,1,MENSAL,8100,PLANO DE SAUDE UNIMED
1,MENSAL,5480,PLANO SAUDE UNIMED-APT,D,201107,1,MENSAL,8100,PLANO DE SAUDE UNIMED
1,MENSAL,5900,DESC ASSIST MEDICA TITULAR,D,202310,1,MENSAL,8100,PLANO DE SAUDE UNIMED
1,MENSAL,6060,PLANO SAUDE UMIDED-UNIFÁCIL,D,201309,1,MENSAL,8100,PLANO DE SAUDE UNIMED
1,MENSAL,550,PLANO SAUDE MES ANTERIOR,D,201808,1,MENSAL,8101,DIF PLANO DE SAUDE UNIMED
1,MENSAL,5901,DIF DESC ASSIST MEDICA TITULAR,D,202007,1,MENSAL,8101,DIF PLANO DE SAUDE UNIMED
1,MENSAL,5902,DEV DESC ASSIST MEDICA TITULAR,P,202206,1,MENSAL,8102,DEV PLANO DE SAUDE UNIMED
1,MENSAL,23135,DEVOLUÇÃO DES.PLANO DE SAUDE,P,202204,1,MENSAL,8102,DEV PLANO DE SAUDE UNIMED
1,MENSAL,6090,CO-PARTICIPAÇÃO UNIMED - UNIFACIL,D,202202,1,MENSAL,8105,CO-PARTICIPACAO UNIMED
1,MENSAL,23650,DESC CONSULTA TITULAR,D,202310,1,MENSAL,8105,CO-PARTICIPACAO UNIMED
1,MENSAL,23655,DESC CONSULTA DEP 1,D,202310,1,MENSAL,8105,CO-PARTICIPACAO UNIMED
1,MENSAL,23660,DESC CONSULTA DEP 2,D,202310,1,MENSAL,8105,CO-PARTICIPACAO UNIMED
1,MENSAL,23665,DESC CONSULTA DEP 3,D,202309,1,MENSAL,8105,CO-PARTICIPACAO UNIMED
1,MENSAL,7000,CO-PARTICIPAÇÃO MES ANTERIOR,D,201207,1,MENSAL,8106,DIF CO-PARTICIPACAO UNIMED
1,MENSAL,5905,DESC ASSIST MEDICA DEPEND,D,202310,1,MENSAL,8110,DEPENDENTE PLANO DE SAUDE UNIMED
1,MENSAL,5906,DIF DESC ASSIST MEDICA DEPEND,D,202106,1,MENSAL,8111,DIF DEPENDENTE PLANO DE SAUDE UNIMED
1,MENSAL,5907,DEV DESC ASSIST MEDICA DEPEND,P,202206,1,MENSAL,8112,DEV DEPENDENTE PLANO DE SAUDE UNIMED
1,MENSAL,24850,ODONTO TIT,D,202310,1,MENSAL,8200,ASSISTENCIA ODONTOLOGICA 1
1,MENSAL,24865,ODONTO INDICE,D,202310,1,MENSAL,8200,ASSISTENCIA ODONTOLOGICA 1
1,MENSAL,1710,DEVOLUÇÃO DESC.PLANO ODONTOLÓGICO,P,201611,1,MENSAL,8202,DEV ASSISTENCIA ODONTOLOGICA 1
1,MENSAL,24855,ODONTO DEP,D,202310,1,MENSAL,8210,DEPENDENTE ASSISTENCIA ODONTOLOGICA 1
1,MENSAL,24860,ODONTO AGREGADO,D,202310,1,MENSAL,8215,AGREGADO ASSISTENCIA  ODONTOLOGICA 1
1,MENSAL,5410,REFEITORIO,D,202310,1,MENSAL,8310,VALE REFEICAO
1,MENSAL,5830,REFEITÓRIO MES ANTERIOR,D,201705,1,MENSAL,8311,DIF VALE REFEICAO
1,MENSAL,5140,VALE TRANSPORTE,D,202310,1,MENSAL,8400,VALE TRANSPORTE
1,MENSAL,5530,VALE TRANSPORTES MES ANTERIOR,D,201803,1,MENSAL,8401,DIF VALE TRANSPORTE
1,MENSAL,5570,V. TRANSPORTES MES ANTERIOR,D,200903,1,MENSAL,8401,DIF VALE TRANSPORTE
1,MENSAL,5720,DESCONTO INDEVIDO V.TRANSPORTE,P,201812,1,MENSAL,8402,DEV VALE TRANSPORTE
1,MENSAL,5340,DESC .PL SAUDE GOLDEM CROSS,D,199907,1,MENSAL,8505,DESC .PL SAUDE GOLDEM CROSS
1,MENSAL,5460,DESC.PL SAUDE GOLDEN CROSS MES ANT.,D,199906,1,MENSAL,8506,DIF DESC .PL SAUDE GOLDEM CROSS
1,MENSAL,5360,PLANO DE SAUDE,D,199908,1,MENSAL,8510,PLANO DE SAUDE
1,MENSAL,5540,PLANO DE SAUDE HSBC,D,200202,1,MENSAL,8515,PLANO DE SAUDE HSBC
1,MENSAL,5600,PLANO DE SAUDE AMIL,D,200210,1,MENSAL,8520,PLANO DE SAUDE AMIL
1,MENSAL,5640,DESC.PLANO SAUDE PROPORCIONAL,D,202011,1,MENSAL,8525,DESC.PLANO SAUDE PROPORCIONAL
1,MENSAL,6070,INSCRIÇÃO UNIMED-UNIFACIL,D,201307,1,MENSAL,8530,INSCRIÇÃO UNIMED-UNIFACIL
1,MENSAL,5790,PLANO DE ASSISTÊNCIA ODONTOLÓGICA,D,202204,1,MENSAL,8535,PLANO DE ASSISTÊNCIA ODONTOLÓGICA
1,MENSAL,6010,PLANO ODONTOLÓGICO MES ANTERIOR,D,201807,1,MENSAL,8536,DIF PLANO DE ASSISTÊNCIA ODONTOLÓGICA
1,MENSAL,5860,PLANO ASSIST ODONTOLOGICA CUNHA,D,202203,1,MENSAL,8540,PLANO ASSIST ODONTOLOGICA CUNHA
1,MENSAL,5865,PLANO ASSIST ODONTOL CUNHA - DEP,D,202203,1,MENSAL,8545,PLANO ASSIST ODONTOL CUNHA - DEP
1,MENSAL,5880,PLANO ODONTOGROUP - TITULAR,D,202111,1,MENSAL,8550,PLANO ODONTOGROUP - TITULAR
1,MENSAL,5890,PLANO ODONTOGROUP - DEPENDENTES,D,202201,1,MENSAL,8555,PLANO ODONTOGROUP - DEPENDENTES
1,MENSAL,22530,CONTA HOSPITALAR,D,202310,1,MENSAL,8560,CONTA HOSPITALAR
1,MENSAL,5180,CONTA HOSPITALAR MESES ANTERIOR,D,201606,1,MENSAL,8561,DIF CONTA HOSPITALAR
1,MENSAL,530,DEV DESC CONTA HOSP MES ANTER,P,202111,1,MENSAL,8562,DEV CONTA HOSPITALAR
1,MENSAL,5182,DEV CONTA HOSPITALAR MESES ANTERIOR,P,202203,1,MENSAL,8562,DEV CONTA HOSPITALAR
1,MENSAL,5750,EMPRÉSTIMO PESSOAL C/DESC. FOLHA PAGAMEN,D,201807,1,MENSAL,8565,EMPRÉSTIMO PESSOAL C/DESC. FOLHA PAGAMEN
1,MENSAL,7010,EMPRESTIMO  CONSIGNADO MES ANTERIOR,D,201306,1,MENSAL,8565,EMPRÉSTIMO PESSOAL C/DESC. FOLHA PAGAMEN
1,MENSAL,5760,EMPRESTIMO PESSOAL C/ DESC. FL.PGT I,D,201106,1,MENSAL,8570,EMPRESTIMO PESSOAL C/ DESC. FL.PGT I
1,MENSAL,5780,DESCONTO ANTECIPADO EMP. CONSIGNADO,D,200808,1,MENSAL,8575,DESCONTO ANTECIPADO EMP. CONSIGNADO
1,MENSAL,23180,DEVOLUÇÃO DESC. ANT. EMP. CONSIGNADO,P,201108,1,MENSAL,8577,DEV DESCONTO ANTECIPADO EMP. CONSIGNADO
1,MENSAL,6000,CARTÃO CONSIGNADO UNICARD,D,201104,1,MENSAL,8580,DESCONTO CARTÃO CONSIGNADO
1,MENSAL,5800,DESCONTO CARTÃO CONSIGNADO MES ANTERIOR,D,201007,1,MENSAL,8581,DIF DESCONTO CARTÃO CONSIGNADO
1,MENSAL,6050,CARTÃO ASSOCIADO - STS,D,202309,1,MENSAL,8585,CARTÃO ASSOCIADO - STS
1,MENSAL,23260,DESC REFEITORIO,D,202310,1,MENSAL,8590,DESC REFEITORIO
1,MENSAL,23270,DESC MINIMO REF,D,202310,1,MENSAL,8595,DESC MINIMO REF
1,MENSAL,22700,EMPRESTIMO,D,201803,1,MENSAL,8700,DESCONTO EMPRESTIMO
1,MENSAL,1690,DEVOLUÇÃO DESCONTO CARTÃO CONSIGNADO,P,201107,1,MENSAL,8707,DEV DESC EMPRESTIMO CONSIGNADO BANCO 1
1,MENSAL,5670,FARMACIA,D,200411,1,MENSAL,8800,DESCONTO FARMACIA
1,MENSAL,5210,CONVENIO CAESGH-COI,D,199903,1,MENSAL,8810,CONVENIO
1,MENSAL,5220,CONVENIO CAESGH,D,201102,1,MENSAL,8810,CONVENIO
1,MENSAL,24840,DESCONTO CONVÊNIO DROGASHOP,D,202310,1,MENSAL,8815,DESCONTO CONVÊNIO DROGASHOP
1,MENSAL,23235,DESC DESPESA MEDICA,D,201801,1,MENSAL,8820,DESC DESPESA MEDICA
1,MENSAL,5250,VALE,D,201709,1,MENSAL,9005,VALE
1,MENSAL,5500,VALE PENDENTE,D,200202,1,MENSAL,9005,VALE
1,MENSAL,5430,VALE MES ANTERIOR,D,200811,1,MENSAL,9006,DIF VALE
1,MENSAL,5620,UNIFORME,D,202012,1,MENSAL,9010,UNIFORME
1,MENSAL,23255,DESC UNIFORME,D,202108,1,MENSAL,9010,UNIFORME
1,MENSAL,24900,DESC EPI,D,202207,1,MENSAL,9015,DESCONTO EPI
1,MENSAL,24940,DESCONTO EXAME II,D,202307,1,MENSAL,9020,DESCONTO EXAME II
1,MENSAL,5510,CONFECCAO CHAVE,D,202308,1,MENSAL,9025,DESCONTO CONFECCAO CHAVE
1,MENSAL,24015,DESCONTO EXAMES,D,202310,1,MENSAL,9030,DESCONTO EXAMES
1,MENSAL,5770,CONTA HOSPITALAR II,D,202310,1,MENSAL,9035,CONTA HOSPITALAR II
1,MENSAL,5160,TELEFONEMAS,D,200703,1,MENSAL,9100,DESCONTO TELEFONE
1,MENSAL,23240,DESC CRACHA,D,202310,1,MENSAL,9105,DESCONTO 2º VIA CRACHA
1,MENSAL,5240,PAGAMENTO INDEVIDO,D,202310,1,MENSAL,9815,DESCONTO PAGAMENTO INDEVIDO
1,MENSAL,5440,REEMBOLSO,D,202310,1,MENSAL,9815,DESCONTO PAGAMENTO INDEVIDO
1,MENSAL,5700,DESC PAGAMENTO,D,202305,1,MENSAL,9815,DESCONTO PAGAMENTO INDEVIDO
1,MENSAL,5150,LANCHONETE,D,200305,1,MENSAL,9820,OUTROS DESCONTOS
1,MENSAL,5380,SPP LOJINHA/LANCHONETE,D,200401,1,MENSAL,9820,OUTROS DESCONTOS
1,MENSAL,5390,DALE CARNEGIE TRAINING,D,199904,1,MENSAL,9820,OUTROS DESCONTOS
1,MENSAL,5420,PRODUTOS E MEDICAMENTOS,D,199901,1,MENSAL,9820,OUTROS DESCONTOS
